year,lat,lon,zone,vessel,sampled
2022,47,-135,zone 5,Sir John Franklin,0
2022,48,-135,zone 5,Sir John Franklin,0
2022,49,-135,zone 5,Sir John Franklin,0
2022,50,-135,zone 5,Sir John Franklin,0
2022,51,-135,zone 5,Sir John Franklin,0
2022,52,-135,zone 5,Sir John Franklin,0
2022,53,-135,zone 5,Sir John Franklin,0
2022,55,-138,zone 5,Sir John Franklin,0
2022,54,-138,zone 5,Sir John Franklin,0
2022,53,-138,zone 5,Sir John Franklin,0
2022,52,-138,zone 5,Sir John Franklin,0
2022,51,-138,zone 5,Sir John Franklin,0
2022,50,-138,zone 5,Sir John Franklin,0
2022,49,-138,zone 5,Sir John Franklin,0
2022,48,-138,zone 5,Sir John Franklin,0
2022,47,-138,zone 5,Sir John Franklin,0
2022,47,-141,zone 5,Sir John Franklin,0
2022,48,-141,zone 5,Sir John Franklin,0
2022,49,-141,zone 5,Sir John Franklin,0
2022,50,-141,zone 5,Sir John Franklin,0
2022,51,-141,zone 5,Sir John Franklin,0
2022,52,-141,zone 5,Sir John Franklin,0
2022,53,-141,zone 5,Sir John Franklin,0
2022,54,-141,zone 5,Sir John Franklin,0
2022,55,-141,zone 5,Sir John Franklin,0
2022,56,-141,zone 5,Sir John Franklin,0
2022,57,-141,zone 5,Sir John Franklin,0
2022,57,-144,zone 5,Sir John Franklin,0
2022,56,-144,zone 5,Sir John Franklin,0
2022,55,-144,zone 5,Sir John Franklin,0
2022,54,-144,zone 5,Sir John Franklin,0
2022,53,-144,zone 5,Sir John Franklin,0
2022,52,-144,zone 5,Sir John Franklin,0
2022,51,-144,zone 5,Sir John Franklin,0
2022,50,-144,zone 5,Sir John Franklin,0
2022,49,-144,zone 5,Sir John Franklin,0
2022,48,-144,zone 5,Sir John Franklin,0
2022,47,-144,zone 5,Sir John Franklin,0
2022,47,-156,zone 4,Bell M. Shimada,0
2022,48,-156,zone 4,Bell M. Shimada,0
2022,49,-156,zone 4,Bell M. Shimada,0
2022,50,-156,zone 4,Bell M. Shimada,0
2022,51,-156,zone 4,Bell M. Shimada,0
2022,52,-156,zone 4,Bell M. Shimada,0
2022,53,-156,zone 4,Bell M. Shimada,0
2022,54,-156,zone 4,Bell M. Shimada,0
2022,55,-156,zone 4,Bell M. Shimada,0
2022,56,-156,zone 4,Bell M. Shimada,0
2022,47,-151.5,zone 4,Bell M. Shimada,0
2022,48,-151.5,zone 4,Bell M. Shimada,0
2022,49,-151.5,zone 4,Bell M. Shimada,0
2022,50,-151.5,zone 4,Bell M. Shimada,0
2022,51,-151.5,zone 4,Bell M. Shimada,0
2022,52,-151.5,zone 4,Bell M. Shimada,0
2022,53,-151.5,zone 4,Bell M. Shimada,0
2022,54,-151.5,zone 4,Bell M. Shimada,0
